A_AGE,PEMLR,SS_YN,class
24,1,2,0
58,7,2,0
24,1,2,0
40,7,2,0
24,1,2,0
26,1,2,0
18,7,2,0
4,0,0,0
38,3,2,0
12,0,0,0
46,7,2,0
26,1,2,0
35,7,2,0
19,7,2,0
29,4,2,0
24,0,2,0
35,1,2,0
48,1,2,0
41,1,2,0
10,0,0,0
85,5,1,1
74,5,1,1
64,5,1,1
73,5,1,1
15,7,2,1
5,0,0,1
4,0,0,1
10,0,0,1
54,6,1,1
3,0,0,1
45,3,2,1
28,1,2,1
17,4,1,1
57,1,2,1
77,6,1,1
5,0,0,1
80,5,1,1
16,1,2,1
57,7,2,1
21,7,1,1
56,4,2,2
64,5,2,2
38,2,2,2
79,1,1,2
57,7,2,2
65,1,2,2
5,0,0,2
76,5,1,2
49,1,2,2
37,2,2,2
2,0,0,2
41,1,2,2
67,1,1,2
67,5,1,2
63,5,2,2
85,5,1,2
19,1,2,2
70,2,1,2
38,1,2,2
56,6,1,2
29,1,2,3
26,1,2,3
59,1,2,3
63,1,1,3
14,0,0,3
22,4,2,3
25,7,2,3
18,1,2,3
25,1,2,3
46,1,2,3
40,1,2,3
29,4,2,3
33,1,2,3
4,0,0,3
12,0,0,3
51,7,2,3
29,1,2,3
7,0,0,3
51,1,2,3
41,1,2,3
78,5,2,4
60,2,2,4
27,1,2,4
65,1,2,4
22,1,2,4
42,1,2,4
73,5,1,4
45,1,2,4
26,1,2,4
76,5,1,4
77,5,1,4
27,1,2,4
71,1,1,4
70,5,1,4
78,5,1,4
67,7,1,4
71,5,1,4
66,5,1,4
67,5,1,4
61,1,2,4
