A_AGE,PTOTVAL,PEMLR,SS_YN,class
24,0,7,2,0
19,4000,1,2,0
52,7200,7,2,0
46,7200,1,2,0
5,0,0,0,0
58,97610,1,2,0
15,0,7,2,0
14,0,0,0,0
41,0,4,2,0
37,0,6,2,0
18,0,7,2,0
58,13680,6,2,0
48,115001,0,2,0
60,4798,1,2,0
19,0,1,2,0
63,0,1,2,0
9,0,0,0,0
40,0,7,2,0
57,30000,1,2,0
54,38000,1,2,0
4,0,0,0,1
66,12036,5,1,1
4,0,0,0,1
8,0,0,0,1
79,1003,5,1,1
22,8000,7,2,1
67,40868,1,1,1
10,0,0,0,1
41,12000,1,2,1
10,0,0,0,1
80,17773,5,1,1
69,16573,5,1,1
30,15125,1,2,1
43,28000,1,2,1
54,9240,6,2,1
85,13000,5,1,1
0,0,0,0,1
70,1000,5,2,1
73,42717,5,1,1
41,10830,6,1,1
65,20789,1,1,2
22,1500,7,2,2
70,1100179,1,2,2
6,0,0,0,2
29,31000,1,2,2
22,0,7,2,2
14,0,0,0,2
30,0,7,2,2
33,12703,2,2,2
21,15570,7,2,2
71,102043,2,1,2
80,27046,5,1,2
43,26000,1,2,2
80,25280,5,1,2
80,18427,5,1,2
80,53310,5,1,2
8,0,0,0,2
54,32000,1,2,2
85,45001,5,1,2
62,17800,1,2,2
19,18000,2,2,3
11,0,0,0,3
55,51446,5,1,3
44,45010,1,2,3
23,64001,1,2,3
5,0,0,0,3
13,0,0,0,3
56,409025,1,2,3
66,137002,1,2,3
9,0,0,0,3
0,0,0,0,3
43,40000,1,2,3
36,1,1,2,3
57,40010,1,2,3
59,3228,5,2,3
34,40015,1,2,3
31,53201,1,2,3
14,0,0,0,3
15,0,7,2,3
57,78544,1,2,3
75,24601,5,1,4
85,56909,5,1,4
79,30557,5,1,4
43,6168,6,2,4
69,64190,1,1,4
79,18050,5,1,4
73,220501,1,1,4
47,0,6,2,4
61,8040,5,2,4
22,27001,1,2,4
74,93452,5,1,4
53,25001,1,2,4
40,59900,1,2,4
69,69507,5,1,4
76,117346,1,1,4
14,0,0,0,4
74,53000,5,1,4
60,17170,6,1,4
65,17328,5,1,4
53,4,7,2,4
