iter,j,q,bc
1,1,1,0.01
1,1,2,85.99
1,1,3,85.99
2,1,1,-85.99
2,1,2,-85.99
2,1,3,85.99
3,1,1,-0.009999998
3,1,2,-0.009999998
3,1,3,0.01
4,1,1,-0.009999998
4,1,2,-0.009999998
4,1,3,0.01
5,1,1,-0.009999997
5,1,2,-0.009999997
5,1,3,0.01
6,1,1,-85.99
6,1,2,-85.99
6,1,3,0.01
7,1,1,-0.01
7,1,2,-0.01
7,1,3,0.01
8,1,1,-0.01
8,1,2,-0.01
8,1,3,0.01
9,1,1,-85.99
9,1,2,-0.009999999
9,1,3,0.01
10,1,1,24.01
10,1,2,40.990000001
10,1,3,65.99
11,1,1,24.01
11,1,2,40.99
11,1,3,64.99
12,1,1,24.990000001
12,1,2,40.009999998
12,1,3,64.009999998
13,1,1,24.99
13,1,2,55.99
13,1,3,64.99
14,1,1,24.01
14,1,2,55.99
14,1,3,64.990000001
15,1,1,24.01
15,1,2,55.99
15,1,3,64.990000001
